address,amountReceived,blockNumber,time,logIndex,txid
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,40.50000000000001,20446861,Fri Sep 30 2022 07:22:02 GMT+0700 (Indochina Time),441,0x90fb38e70e193d5eb681091f8493880101d8d0808184a147a36e06a7635f17de
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,6.750000000000001,20446874,Fri Sep 30 2022 07:22:28 GMT+0700 (Indochina Time),101,0x282a53daef2a249f890c269f5b4cbf6f0cb8b17c441936c055be64d6c8bb7a1d
0x4303caf7DEC8931B8604055e81560A5ef3fFa95f,1.25,20488738,Sat Oct 01 2022 07:17:08 GMT+0700 (Indochina Time),289,0xc42a75ef18f3c102db44f1ba008b26b12b7bd44c440d3f90fc8b294b7c386703
0x4303caf7DEC8931B8604055e81560A5ef3fFa95f,30,20489044,Sat Oct 01 2022 07:27:34 GMT+0700 (Indochina Time),3,0x1d6a51c8060c6dbe5c0318d0579561548c68f6083a33b519e5faf024d6c27a0f
0x52EB753cdBCFA0ca4B2082590e7b8537dF3D727A,2.5,20489684,Sat Oct 01 2022 07:49:16 GMT+0700 (Indochina Time),167,0x0a9da2f13eaa78066e1ae27c62a2dfb7af73125e2361d5c4f48991f5bdb6785c
0x52EB753cdBCFA0ca4B2082590e7b8537dF3D727A,1.25,20489986,Sat Oct 01 2022 07:59:50 GMT+0700 (Indochina Time),119,0xa9522d3653e94289f7dcaa4d55bc980ec803f95f028b6e3d2e600f331271a45e
0x52EB753cdBCFA0ca4B2082590e7b8537dF3D727A,1.25,20489991,Sat Oct 01 2022 08:00:00 GMT+0700 (Indochina Time),39,0x3617d7536437eff2d1af7cd4bfe90a8096c92a355a0ccd818a88a771e4522daf
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,13.5,20490285,Sat Oct 01 2022 08:10:29 GMT+0700 (Indochina Time),131,0xcb94e0237785f0b47fae2af8b686a0c5a83f5926dd96251e2262a6bdb28c26fe
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,1.6875,20490598,Sat Oct 01 2022 08:21:06 GMT+0700 (Indochina Time),245,0xdd1c9679ee00901d298a054ef7b6f080f34cb442f0b35d3980ed82d2d569b8d1
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,40.50000000000001,20490608,Sat Oct 01 2022 08:21:27 GMT+0700 (Indochina Time),85,0xdc643a48448cc4719acba80c2ce0c3bf2ebf75bec65af178b203a5820312cc0b
0x82E628b7D6Aa23B2d11B9443d1c15E998b6519Be,1.25,20490917,Sat Oct 01 2022 08:31:57 GMT+0700 (Indochina Time),51,0x87e4a70a4cf518576331eb71fbf213a278caed3e7f51433e5a5422b42d51da60
0x82E628b7D6Aa23B2d11B9443d1c15E998b6519Be,5,20490919,Sat Oct 01 2022 08:32:02 GMT+0700 (Indochina Time),195,0x0d53bbef2a877b26689ce3a2da65f457de8e3b8c247bade326cecc082c66ef0c
0xE767b32AeC155aa642473eD6c209Df68cB08cC24,5,20491848,Sat Oct 01 2022 09:04:24 GMT+0700 (Indochina Time),15,0x60d6bcaac4380098f0cd5dc11990e941c38ac029f0dfdebf0b520c6c38d04aae
0xE767b32AeC155aa642473eD6c209Df68cB08cC24,2.5,20491851,Sat Oct 01 2022 09:04:31 GMT+0700 (Indochina Time),15,0x9cbc76d07e6e72fb3de452867f7d398ec94fd15dc9b25b405612efafa043ed05
0x315c73e2f60DCC60B35e1F7E0E53be93B4167BfF,30,20530761,Sun Oct 02 2022 07:28:42 GMT+0700 (Indochina Time),545,0x063a91b05472ea194cb3cca074fceec672f63d380700dc77987291fdcafee4e7
0x315c73e2f60DCC60B35e1F7E0E53be93B4167BfF,5,20530765,Sun Oct 02 2022 07:28:50 GMT+0700 (Indochina Time),199,0xf89203e748b31904a7f38a8dbb3347775d998505dde580d786a98569eb8d04ec
